	Gm12878	H1hesc	Helas3	Hepg2	K562	Mutual
H2az	14.7%	30.8%	0.9%	1.8%	6.7%	0.1%
H3k27ac	24.2%	6.2%	1.4%	12.1%	4.2%	11.3%
H3k27me3	10.0%	12.6%	0.4%	11.4%	2.4%	8.8%
H3k36me3	7.6%	2.6%	1.3%	5.1%	7.3%	39.2%
H3k4me1	19.4%	16.7%	0.4%	10.9%	4.1%	9.9%
H3k4me2	16.8%	17.2%	0.3%	11.8%	3.5%	14.5%
H3k4me3	20.4%	8.6%	0.1%	15.3%	5.5%	12.7%
H3k79me2	13.4%	5.3%	1.0%	2.8%	5.0%	39.4%
H3k9ac	21.6%	11.6%	1.1%	9.4%	7.7%	7.7%
H3k9me3	65.7%	4.9%	0.9%	4.1%	0.3%	0.9%
H4k20me1	11.2%	23.1%	0.2%	5.2%	9.8%	6.2%
