,Query Methods,,Annotations,,,,Enrichment and Mapping,,,Visualization
Tool,Query by Biological Concept,Query by Compound,MeSH,Metabolic Pathways,GO,Enzymes,Pathway Mapping of User-supplied Compounds,Enrichment of User-supplied Compound Sets,Enrichment of Pre-defined Compound Sets,
ConceptMetab,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
MetScape,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
MetDisease,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
Metab2MeSH,No,Yes,Yes,No,No,No,No,No,No,No
MBRole,No,No,No,Yes,No,Yes,Yes,Yes,No,No
MSEA,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes
MetPA,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes
