Annotation Type,Organism,Genome Builds
Genic,"Fly, Human, Mouse, Rat","dm3, dm6, hg19, hg38, mm9, mm10, rn4, rn5, rn6"
CpG,"Human, Mouse, Rat","hg19, hg38, mm9, mm10, rn4, rn5, rn6"
lncRNA,"Human, Mouse","hg19, hg38, mm10"
Enhancers,"Human, Mouse","hg19, hg38, mm9, mm10"
Chromatin State,Human,hg19
